timecode_seconds,timecode,rule_id,status,level,standard,message,human_review_required,citation
39.600,00:00:39.600,DCMP-DESC-05,fail,error,DCMP Description Key do not describe over essential audio,AD at 39.60s–44.40s overlaps a detected speech region. Text: 'A sedan drove slowly along the cemetery road.',False,"DCMP Description Key: Standards and Guidelines for Audio Description.
Tense: Describe action in the present tense, active voice.
Point of view: Third-person narrative; never first or second person.
Language: Use objective language; avoid subjective or interpretive terms.
Sentences: Use complete sentences whenever possible.
Timing: Descriptions must fit within the available dialogue-free time.
Word"
46.000,00:00:46.000,DCMP-DESC-05,fail,error,DCMP Description Key do not describe over essential audio,"AD at 46.00s–49.20s overlaps a detected speech region. Text: 'In a dolly shot, the camera creeps toward the graves.'",False,"DCMP Description Key: Standards and Guidelines for Audio Description.
Tense: Describe action in the present tense, active voice.
Point of view: Third-person narrative; never first or second person.
Language: Use objective language; avoid subjective or interpretive terms.
Sentences: Use complete sentences whenever possible.
Timing: Descriptions must fit within the available dialogue-free time.
Word"
157.900,00:02:37.900,DCMP-DESC-05,fail,error,DCMP Description Key do not describe over essential audio,AD at 157.90s–160.10s overlaps a detected speech region. Text: 'A figure lurches out from behind the trees.',False,"DCMP Description Key: Standards and Guidelines for Audio Description.
Tense: Describe action in the present tense, active voice.
Point of view: Third-person narrative; never first or second person.
Language: Use objective language; avoid subjective or interpretive terms.
Sentences: Use complete sentences whenever possible.
Timing: Descriptions must fit within the available dialogue-free time.
Word"
39.600,00:00:39.600,DCMP-DESC-06,flag,note,DCMP Description Key complete sentences,AD at 39.60s may be a sentence fragment (no verb detected). Text: 'A sedan drove slowly along the cemetery road.',True,"DCMP Description Key: Standards and Guidelines for Audio Description.
Tense: Describe action in the present tense, active voice.
Point of view: Third-person narrative; never first or second person.
Language: Use objective language; avoid subjective or interpretive terms.
Sentences: Use complete sentences whenever possible.
Timing: Descriptions must fit within the available dialogue-free time.
Word"
46.000,00:00:46.000,DCMP-DESC-06,flag,note,DCMP Description Key complete sentences,"AD at 46.00s may be a sentence fragment (no verb detected). Text: 'In a dolly shot, the camera creeps toward the graves.'",True,"DCMP Description Key: Standards and Guidelines for Audio Description.
Tense: Describe action in the present tense, active voice.
Point of view: Third-person narrative; never first or second person.
Language: Use objective language; avoid subjective or interpretive terms.
Sentences: Use complete sentences whenever possible.
Timing: Descriptions must fit within the available dialogue-free time.
Word"
157.900,00:02:37.900,DCMP-DESC-06,flag,note,DCMP Description Key complete sentences,AD at 157.90s may be a sentence fragment (no verb detected). Text: 'A figure lurches out from behind the trees.',True,"DCMP Description Key: Standards and Guidelines for Audio Description.
Tense: Describe action in the present tense, active voice.
Point of view: Third-person narrative; never first or second person.
Language: Use objective language; avoid subjective or interpretive terms.
Sentences: Use complete sentences whenever possible.
Timing: Descriptions must fit within the available dialogue-free time.
Word"
168.600,00:02:48.600,NFLX-CPS-01,fail,warning,Netflix TTSG reading speed 20 cps adult / 17 cps children,"Caption at 168.60s exceeds 20.0 CPS (53.0 CPS, adult profile). Text: 'Look here comes one of them right now, come on hur'",False,"Netflix Timed Text Style Guide (TTSG) - English.
Reading speed: Maximum 20 characters per second (CPS) for adult content.
Maximum 17 CPS for children's content.
Line length: Maximum 42 characters per line.
Line count: Maximum 2 lines per event.
Minimum duration: 5/6 of a second (approximately 0.833 seconds) per subtitle event.
Maximum duration: 7 seconds per subtitle event.
Minimum gap: A minimum"
31.500,00:00:31.500,NFLX-LEN-01,fail,warning,"Netflix TTSG 42 characters per line, 2 lines",Caption at 31.50s: line 45 chars: 'I already lost a whole hour of sleep on this.',False,"e event.
Maximum duration: 7 seconds per subtitle event.
Minimum gap: A minimum gap of 2 frames between consecutive subtitle events is required.
Frame rate: Typically 23.976, 24, or 25 fps depending on the content locale.
Character encoding: UTF-8."
168.600,00:02:48.600,NFLX-LEN-01,fail,warning,"Netflix TTSG 42 characters per line, 2 lines","Caption at 168.60s: line 53 chars: 'Look here comes one of them right now, come on hurry.'",False,"Netflix Timed Text Style Guide (TTSG) - English.
Reading speed: Maximum 20 characters per second (CPS) for adult content.
Maximum 17 CPS for children's content.
Line length: Maximum 42 characters per line.
Line count: Maximum 2 lines per event.
Minimum duration: 5/6 of a second (approximately 0.833 seconds) per subtitle event.
Maximum duration: 7 seconds per subtitle event.
Minimum gap: A minimum"
36.900,00:00:36.900,NFLX-DUR-01,fail,warning,Netflix TTSG minimum five-sixths second to 7 seconds,Caption at 36.90s: duration 0.800s below minimum 0.833s,False,"e event.
Maximum duration: 7 seconds per subtitle event.
Minimum gap: A minimum gap of 2 frames between consecutive subtitle events is required.
Frame rate: Typically 23.976, 24, or 25 fps depending on the content locale.
Character encoding: UTF-8."
